,Team Name,Name,League,Wins,Losses,Points For,Points Against
1,Anneimals,redacted,Masters 1k,8,6,1551.84,1316.86
2,Futbol is Life!,redacted,6 U Court,11,3,1539.44,1151.18
3,elbastardocalvo,redacted,Masters 1k,11,3,1536.84,1220
4,Show Me Your TDs,redacted,VRA 2022,10,4,1522.28,1182.48
5,Panic Stations,redacted,Orange and Blue,10,4,1518,1240.42
6,Yummy Wummy Steady State,redacted,VRA 2022,10,4,1510.44,1311.18
7,Erin's Expert Team,redacted,Masters 1k,9,5,1500.94,1299.92
8,MosiTatupuMosiTatupu,redacted,6 U Court,9,5,1498.24,1423.38
9,Explain me this,redacted,Crank City,10,4,1491.28,1267.52
10,Big Sister,redacted,Orange and Blue,12,2,1490.82,1264.54
11,Riley Read Option,redacted,Barn Szn Pass,9,5,1490.78,1377.2
12,Chuck,redacted,Barn Szn Pass,10,4,1477.76,1287.16
13,Denver Sharps,redacted,Stump Field,7,7,1471.38,1390.92
14,Marvin Hemeyer Memorial Team,redacted,VRA 2022,11,3,1468.04,1254.44
15,LBC Highlanders,redacted,Masters 1k,10,4,1468,1249.16
16,Crew House South,redacted,Crank City,8,6,1467.74,1390.44
17,Reigny Daze,redacted,Eight,9,5,1459.98,1264.88
18,Free Roamers,redacted,Crank City,8,6,1457.8,1354
19,I Deserve This,redacted,Crank City,11,3,1452.84,1200.62
20,My Team,redacted,Stump Field,9,5,1452.46,1195.5
21,Twistee,redacted,VRA 2022,9,5,1439.62,1222.9
22,Commander? Just Met Her,redacted,Crank City,10,4,1433.78,1195.3
23,Steelers Super Bowl 2022,redacted,Stump Field,10,4,1426.74,1233.48
24,Big Blue Locomotive,redacted,Barn Szn Pass,6,8,1422.64,1384.48
25,Who Dat? Blew Dat.,redacted,6 U Court,7,7,1422.3,1302.6
26,Run CMC,redacted,6 U Court,6,8,1413.42,1539.44
27,Duck Duck Eagle,redacted,6 U Court,9,5,1411.94,1218.42
28,Sixually Transmitted TDs,redacted,Barn Szn Pass,9,5,1402.76,1242
29,Pointers,redacted,Orange and Blue,10,4,1394.9,1287.64
30,McDaniel Happy Meal,redacted,6 U Court,5,9,1387.36,1375.62
31,The Beez Knees,redacted,Eight,11,3,1387.08,1010.18
32,Pretzel Nation,redacted,Barn Szn Pass,6,8,1374.24,1450.56
33,Who Dat,redacted,Barn Szn Pass,10,4,1372.42,1328.34
34,Firm Tugs,redacted,6 U Court,10,4,1353.54,1297
35,Rick made me do it,redacted,Champions,10,4,1353.44,1204.38
36,Deceptively Athletic,redacted,Barn Szn Pass,10,4,1350.68,1291.94
37,Sleep Deprived,redacted,Orange and Blue,6,8,1349.32,1310.14
38,Chopper Sic Balls,redacted,6 U Court,7,7,1344.82,1394.4
39,Washington O-5's,redacted,Stump Field,8,6,1342.12,1351.42
40,The Brown Special,redacted,Stump Field,8,6,1329.46,1201.52
41,Team Ranch Water,redacted,Barn Szn Pass,3,11,1329.42,1407.56
42,Kristen's WaHoos,redacted,Masters 1k,9,5,1322.34,1205.72
43,Ninja Wartortles,redacted,Crank City,8,6,1319.7,1315.3
44,The Swarm,redacted,Eight,7,7,1314.1,1276.94
45,globteamio,redacted,Champions,10,4,1299.9,1084.8
46,Chempossible,redacted,Crank City,5,9,1295.74,1440.46
47,Sack Lunch,redacted,Stump Field,8,6,1295.6,1388.78
48,Let Geno Cook,redacted,Crank City,6,8,1284.16,1297.7
49,Go Go Nimrods!,redacted,Stump Field,6,8,1276.1,1323.88
50,Mason Rudolph’s Helmet,redacted,VRA 2022,9,5,1272.06,1161.6
51,Chargers Medical Staff,redacted,Barn Szn Pass,4,10,1271.02,1414.9
52,3 Birdies + Cloudy,redacted,Champions,9,5,1257.42,1054.26
53,Team Also-Ran,redacted,Eight,7,7,1251,1240.9
54,Who needs an ACL?,redacted,Orange and Blue,5,9,1233.88,1308.66
55,Defend Brooklyn,redacted,Orange and Blue,7,7,1229.84,1238.26
56,Gevans's Team,redacted,Masters 1k,6,8,1226.82,1208.14
57,Is This Thing On?,redacted,Eight,7,7,1225.26,1306.06
58,Free Henry Ruggs,redacted,VRA 2022,5,9,1223.7,1310.4
59,Babykinslovepantss,redacted,Eight,5,9,1220.32,1260.62
60,Frenzied Zen,redacted,Eight,8,6,1214.2,1180.12
61,Achilles Last Stand,redacted,Stump Field,6,8,1207.06,1325.42
62,Spencer's Terrific Team,redacted,VRA 2022,5,9,1201.7,1450.62
63,Adam's Team,redacted,Masters 1k,6,8,1198.1,1351.4
64,Ceedeez Nuts,redacted,Crank City,3,11,1194.7,1536.1
65,Hulk Smash,redacted,Stump Field,5,9,1187.08,1312.4
66,'Da Bones,redacted,Champions,8,6,1182.7,1250.94
67,Nullachtfünfzehn,redacted,Champions,9,5,1178.6,1093.84
68,Matthew's Dazzling Team,redacted,VRA 2022,5,9,1174,1311.92
69,Big Meaty Claws,redacted,6 U Court,3,11,1169.06,1409.98
70,Allen's eleven,redacted,Eight,7,7,1166.08,1180.82
71,Football Cream,redacted,Orange and Blue,6,8,1154.78,1290.96
72,Xoxo boys xoxo,redacted,Barn Szn Pass,3,11,1151.04,1458.62
73,Chase's Nice Team,redacted,Orange and Blue,5,9,1131.52,1271.12
74,Lonestar State Dohn,redacted,Champions,5,9,1130.74,1121.86
75,DAKstreet's back,redacted,VRA 2022,4,10,1119.42,1294.1
76,Old as Wooden Oars,redacted,Orange and Blue,4,10,1112.7,1244.82
77,NC Bachelor,redacted,Champions,7,7,1083.56,1036.34
78,To the Moon and Back,redacted,Orange and Blue,5,9,1058.5,1217.7
79,Decker?Hardly Kno'er,redacted,Crank City,1,13,1057.02,1457.32
80,Cheese,redacted,6 U Court,3,11,1038.52,1466.62
81,Pus-Oozing Blisters,redacted,Masters 1k,2,12,1014.98,1280.78
82,Wild Desert Pigs,redacted,Eight,4,10,1013.1,1416.46
83,VT Hokies,redacted,Stump Field,3,11,1010.78,1275.46
84,Bruiser's Best Team,redacted,Eight,5,9,1003.4,1117.54
85,Jackson's Slam-Dunk Team,redacted,VRA 2022,2,12,993.78,1425.4
86,BigRickNick,redacted,Champions,5,9,992.94,1070.36
87,MM's Team,redacted,Masters 1k,5,9,958.9,1286.04
88,Cured Limes,redacted,Masters 1k,4,10,954.9,1315.64
89,Goonies,redacted,Champions,3,11,949.92,1190.28
90,Hoo's A Winner,redacted,Champions,4,10,841.42,1163.58
